Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
1,Harry Kane,eng ENG,"FW,MF",Bayern Munich,32,"€ 480,769 (£ 416,758, $559,944)","€ 25,000,000 (£ 21,671,440, $29,117,090)",
2,Manuel Neuer,de GER,GK,Bayern Munich,39,"€ 403,846 (£ 350,077, $470,353)","€ 21,000,000 (£ 18,204,009, $24,458,356)",
3,Joshua Kimmich,de GER,MF,Bayern Munich,30,"€ 384,615 (£ 333,407, $447,955)","€ 20,000,000 (£ 17,337,152, $23,293,672)",
4,Jamal Musiala,de GER,"MF,FW",Bayern Munich,22,"€ 362,885 (£ 314,569, $422,646)","€ 18,870,000 (£ 16,357,603, $21,977,580)",
5,Serge Gnabry,de GER,MF,Bayern Munich,30,"€ 362,885 (£ 314,569, $422,646)","€ 18,870,000 (£ 16,357,603, $21,977,580)",
6,Alphonso Davies,ca CAN,DF,Bayern Munich,24,"€ 288,462 (£ 250,055, $335,966)","€ 15,000,000 (£ 13,002,864, $17,470,254)",
7,Luis Díaz,co COL,MF,Bayern Munich,28,"€ 269,231 (£ 233,385, $313,569)","€ 14,000,000 (£ 12,136,006, $16,305,570)",
8,Michael Olise,fr FRA,MF,Bayern Munich,23,"€ 259,808 (£ 225,216, $302,594)","€ 13,510,000 (£ 11,711,246, $15,734,875)",
9,Leon Goretzka,de GER,MF,Bayern Munich,30,"€ 250,000 (£ 216,714, $291,171)","€ 13,000,000 (£ 11,269,149, $15,140,887)",
10,Jonathan Tah,de GER,DF,Bayern Munich,29,"€ 230,769 (£ 200,044, $268,773)","€ 12,000,000 (£ 10,402,291, $13,976,203)",
11,Kim Min-jae,kr KOR,DF,Bayern Munich,28,"€ 230,769 (£ 200,044, $268,773)","€ 12,000,000 (£ 10,402,291, $13,976,203)",
12,Niklas Süle,de GER,DF,Dortmund,29,"€ 192,308 (£ 166,703, $223,978)","€ 10,000,000 (£ 8,668,576, $11,646,836)",
13,Dayot Upamecano,fr FRA,DF,Bayern Munich,26,"€ 192,308 (£ 166,703, $223,978)","€ 10,000,000 (£ 8,668,576, $11,646,836)",
14,Serhou Guirassy,gn GUI,FW,Dortmund,29,"€ 181,346 (£ 157,201, $211,211)","€ 9,430,000 (£ 8,174,467, $10,982,966)",
15,Gregor Kobel,ch SUI,GK,Dortmund,27,"€ 174,231 (£ 151,033, $202,924)","€ 9,060,000 (£ 7,853,730, $10,552,033)",
16,Konrad Laimer,at AUT,DF,Bayern Munich,28,"€ 173,077 (£ 150,033, $201,580)","€ 9,000,000 (£ 7,801,718, $10,482,152)",Unverified estimation
17,Emre Can,de GER,DF,Dortmund,31,"€ 153,846 (£ 133,363, $179,182)","€ 8,000,000 (£ 6,934,861, $9,317,469)",
18,Raphaël Guerreiro,pt POR,MF,Bayern Munich,31,"€ 153,846 (£ 133,363, $179,182)","€ 8,000,000 (£ 6,934,861, $9,317,469)",Unverified estimation
19,Benjamin Henrichs,de GER,DF,RB Leipzig,28,"€ 145,192 (£ 125,861, $169,103)","€ 7,550,000 (£ 6,544,775, $8,793,361)",Unverified estimation
20,David Raum,de GER,DF,RB Leipzig,27,"€ 145,192 (£ 125,861, $169,103)","€ 7,550,000 (£ 6,544,775, $8,793,361)",
21,Exequiel Palacios,ar ARG,MF,Leverkusen,26,"€ 145,192 (£ 125,861, $169,103)","€ 7,550,000 (£ 6,544,775, $8,793,361)",
22,Patrik Schick,cz CZE,FW,Leverkusen,29,"€ 145,192 (£ 125,861, $169,103)","€ 7,550,000 (£ 6,544,775, $8,793,361)",Unverified estimation
23,Nicolas Jackson,sn SEN,FW,Bayern Munich,24,"€ 145,192 (£ 125,861, $169,103)","€ 7,550,000 (£ 6,544,775, $8,793,361)",Unverified estimation
