Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
1,Kylian Mbappé,fr FRA,FW,Real Madrid,26,"€ 600,962 (£ 520,948, $699,930)","€ 31,250,000 (£ 27,089,300, $36,396,362)",
2,Vinicius Júnior,br BRA,"FW,MF",Real Madrid,25,"€ 480,769 (£ 416,758, $559,944)","€ 25,000,000 (£ 21,671,440, $29,117,090)",
3,David Alaba,at AUT,DF,Real Madrid,33,"€ 432,692 (£ 375,083, $503,950)","€ 22,500,000 (£ 19,504,296, $26,205,381)",
4,Jude Bellingham,eng ENG,MF,Real Madrid,22,"€ 400,577 (£ 347,243, $466,545)","€ 20,830,000 (£ 18,056,644, $24,260,359)",
5,Jan Oblak,si SVN,GK,Atlético Madrid,32,"€ 400,577 (£ 347,243, $466,545)","€ 20,830,000 (£ 18,056,644, $24,260,359)",
6,Robert Lewandowski,pl POL,FW,Barcelona,36,"€ 400,577 (£ 347,243, $466,545)","€ 20,830,000 (£ 18,056,644, $24,260,359)",
7,Frenkie de Jong,nl NED,MF,Barcelona,28,"€ 365,385 (£ 316,736, $425,557)","€ 19,000,000 (£ 16,470,294, $22,128,988)",
8,Nico Williams,es ESP,MF,Athletic Club,23,"€ 320,577 (£ 277,895, $373,371)","€ 16,670,000 (£ 14,450,516, $19,415,276)",
9,Federico Valverde,uy URU,"MF,DF",Real Madrid,27,"€ 320,577 (£ 277,895, $373,371)","€ 16,670,000 (£ 14,450,516, $19,415,276)",Unverified estimation
10,Rodrygo,br BRA,"MF,FW",Real Madrid,24,"€ 320,577 (£ 277,895, $373,371)","€ 16,670,000 (£ 14,450,516, $19,415,276)",Unverified estimation
11,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,26,"€ 320,577 (£ 277,895, $373,371)","€ 16,670,000 (£ 14,450,516, $19,415,276)",
12,Lamine Yamal,es ESP,"MF,FW",Barcelona,18,"€ 320,577 (£ 277,895, $373,371)","€ 16,670,000 (£ 14,450,516, $19,415,276)",
13,Raphinha,br BRA,"MF,FW",Barcelona,28,"€ 320,577 (£ 277,895, $373,371)","€ 16,670,000 (£ 14,450,516, $19,415,276)",
14,Jules Koundé,fr FRA,DF,Barcelona,26,"€ 300,577 (£ 260,557, $350,077)","€ 15,630,000 (£ 13,548,984, $18,204,005)",Unverified estimation
15,Thibaut Courtois,be BEL,GK,Real Madrid,33,"€ 288,462 (£ 250,055, $335,966)","€ 15,000,000 (£ 13,002,864, $17,470,254)",
16,Antonio Rüdiger,de GER,DF,Real Madrid,32,"€ 280,385 (£ 243,054, $326,559)","€ 14,580,000 (£ 12,638,784, $16,981,087)",
17,Éder Militão,br BRA,DF,Real Madrid,27,"€ 280,385 (£ 243,054, $326,559)","€ 14,580,000 (£ 12,638,784, $16,981,087)",
18,Marcus Rashford,eng ENG,"MF,FW",Barcelona,27,"€ 269,231 (£ 233,385, $313,569)","€ 14,000,000 (£ 12,136,006, $16,305,570)",
19,Aurélien Tchouaméni,fr FRA,MF,Real Madrid,25,"€ 240,385 (£ 208,379, $279,972)","€ 12,500,000 (£ 10,835,720, $14,558,545)",
20,Eduardo Camavinga,fr FRA,MF,Real Madrid,22,"€ 240,385 (£ 208,379, $279,972)","€ 12,500,000 (£ 10,835,720, $14,558,545)",Unverified estimation
