Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
1,Ousmane Dembélé,fr FRA,FW,Paris Saint-Germain,28,"€ 349,615 (£ 303,067, $407,191)","€ 18,180,000 (£ 15,759,471, $21,173,948)",
2,Khvicha Kvaratskhelia,ge GEO,FW,Paris Saint-Germain,24,"€ 314,615 (£ 272,727, $366,427)","€ 16,360,000 (£ 14,181,790, $19,054,224)",
3,Achraf Hakimi,ma MAR,DF,Paris Saint-Germain,26,"€ 262,308 (£ 227,383, $305,505)","€ 13,640,000 (£ 11,823,938, $15,886,284)",
4,Marquinhos,br BRA,CB,Paris Saint-Germain,31,"€ 258,654 (£ 224,216, $301,250)","€ 13,450,000 (£ 11,659,235, $15,664,994)",
5,Lucas Hernández,fr FRA,DF,Paris Saint-Germain,29,"€ 255,192 (£ 221,215, $297,218)","€ 13,270,000 (£ 11,503,200, $15,455,351)",
6,Vitinha,pt POR,MF,Paris Saint-Germain,25,"€ 227,308 (£ 197,043, $264,742)","€ 11,820,000 (£ 10,246,257, $13,766,560)",
7,Warren Zaïre-Emery,fr FRA,"DF,MF",Paris Saint-Germain,19,"€ 220,192 (£ 190,875, $256,454)","€ 11,450,000 (£ 9,925,519, $13,335,627)",
8,Nuno Mendes,pt POR,DF,Paris Saint-Germain,23,"€ 209,808 (£ 181,873, $244,360)","€ 10,910,000 (£ 9,457,416, $12,706,698)",
9,Benjamin Pavard,fr FRA,DF,Marseille,29,"€ 139,808 (£ 121,081, $162,508)","€ 7,270,000 (£ 6,296,236, $8,450,404)",Unverified estimation
10,Bradley Barcola,fr FRA,FW,Paris Saint-Germain,22,"€ 139,808 (£ 121,193, $162,832)","€ 7,270,000 (£ 6,302,055, $8,467,250)",
11,Désiré Doué,fr FRA,"FW,MF",Paris Saint-Germain,20,"€ 132,885 (£ 115,192, $154,769)","€ 6,910,000 (£ 5,989,986, $8,047,964)",
12,Corentin Tolisso,fr FRA,MF,Lyon,30,"€ 122,308 (£ 106,023, $142,450)","€ 6,360,000 (£ 5,513,214, $7,407,388)",
13,Fabián Ruiz Peña,es ESP,MF,Paris Saint-Germain,29,"€ 122,308 (£ 106,023, $142,450)","€ 6,360,000 (£ 5,513,214, $7,407,388)",
14,Gonçalo Ramos,pt POR,FW,Paris Saint-Germain,24,"€ 122,308 (£ 106,023, $142,450)","€ 6,360,000 (£ 5,513,214, $7,407,388)",
15,Lucas Chevalier,fr FRA,GK,Paris Saint-Germain,23,"€ 122,308 (£ 106,023, $142,450)","€ 6,360,000 (£ 5,513,214, $7,407,388)",Unverified estimation
16,João Neves,pt POR,MF,Paris Saint-Germain,20,"€ 111,923 (£ 97,021, $130,355)","€ 5,820,000 (£ 5,045,111, $6,778,459)",
17,Willian Pacho,ec ECU,DF,Paris Saint-Germain,23,"€ 111,923 (£ 97,021, $130,355)","€ 5,820,000 (£ 5,045,111, $6,778,459)",Unverified estimation
18,Tanguy Ndombele,fr FRA,MF,Nice,28,"€ 104,808 (£ 90,853, $122,068)","€ 5,450,000 (£ 4,724,374, $6,347,526)",Unverified estimation
19,Geoffrey Kondogbia,cf CTA,"MF,DF",Marseille,32,"€ 104,808 (£ 90,853, $122,068)","€ 5,450,000 (£ 4,724,374, $6,347,526)",
20,Mason Greenwood,eng ENG,MF,Marseille,23,"€ 104,808 (£ 90,853, $122,068)","€ 5,450,000 (£ 4,724,374, $6,347,526)",
21,Pierre Højbjerg,dk DEN,MF,Marseille,29,"€ 104,808 (£ 90,853, $122,068)","€ 5,450,000 (£ 4,724,374, $6,347,526)",Unverified estimation
22,Seko Fofana,ci CIV,MF,Rennes,30,"€ 104,808 (£ 90,853, $122,068)","€ 5,450,000 (£ 4,724,374, $6,347,526)",
23,Moussa Niakhaté,sn SEN,DF,Lyon,29,"€ 104,808 (£ 90,853, $122,068)","€ 5,450,000 (£ 4,724,374, $6,347,526)",Unverified estimation
24,Illia Zabarnyi,ua UKR,DF,Paris Saint-Germain,22,"€ 104,808 (£ 90,853, $122,068)","€ 5,450,000 (£ 4,724,374, $6,347,526)",Unverified estimation
