Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
1,Dušan Vlahović,rs SRB,FW,Juventus,25,"€ 427,308 (£ 370,415, $497,678)","€ 22,220,000 (£ 19,261,576, $25,879,270)",
2,Lautaro Martínez,ar ARG,FW,Inter,27,"€ 320,577 (£ 277,895, $373,371)","€ 16,670,000 (£ 14,450,516, $19,415,276)",
3,Paulo Dybala,ar ARG,"MF,FW",Roma,31,"€ 249,231 (£ 216,048, $290,275)","€ 12,960,000 (£ 11,234,474, $15,094,299)",
4,Nicolò Barella,it ITA,MF,Inter,28,"€ 231,538 (£ 200,711, $269,669)","€ 12,040,000 (£ 10,436,965, $14,022,791)",
5,Kevin De Bruyne,be BEL,MF,Napoli,34,"€ 213,654 (£ 185,207, $248,839)","€ 11,110,000 (£ 9,630,788, $12,939,635)",
6,Jonathan David,ca CAN,FW,Juventus,25,"€ 213,654 (£ 185,207, $248,839)","€ 11,110,000 (£ 9,630,788, $12,939,635)",
7,Hakan Çalhanoğlu,tr TUR,MF,Inter,31,"€ 213,654 (£ 185,207, $248,839)","€ 11,110,000 (£ 9,630,788, $12,939,635)",
8,Alessandro Bastoni,it ITA,DF,Inter,26,"€ 195,962 (£ 169,871, $228,233)","€ 10,190,000 (£ 8,833,279, $11,868,126)",
9,Rasmus Højlund,dk DEN,FW,Napoli,22,"€ 178,077 (£ 154,367, $207,403)","€ 9,260,000 (£ 8,027,101, $10,784,970)",
10,Adrien Rabiot,fr FRA,MF,Milan,30,"€ 178,077 (£ 154,367, $207,403)","€ 9,260,000 (£ 8,027,101, $10,784,970)",
11,Christopher Nkunku,fr FRA,FW,Milan,27,"€ 178,077 (£ 154,367, $207,403)","€ 9,260,000 (£ 8,027,101, $10,784,970)",
12,Gleison Bremer,br BRA,DF,Juventus,28,"€ 178,077 (£ 154,367, $207,403)","€ 9,260,000 (£ 8,027,101, $10,784,970)",
13,Álvaro Morata,es ESP,FW,Como,32,"€ 160,192 (£ 138,864, $186,573)","€ 8,330,000 (£ 7,220,924, $9,701,814)",
14,Piotr Zieliński,pl POL,MF,Inter,31,"€ 160,192 (£ 138,864, $186,573)","€ 8,330,000 (£ 7,220,924, $9,701,814)",
15,Romelu Lukaku,be BEL,FW,Napoli,32,"€ 147,885 (£ 128,195, $172,239)","€ 7,690,000 (£ 6,666,135, $8,956,417)",
16,Marcus Thuram,fr FRA,FW,Inter,27,"€ 147,885 (£ 128,195, $172,239)","€ 7,690,000 (£ 6,666,135, $8,956,417)",
17,Loïs Openda,be BEL,"FW,MF",Juventus,25,"€ 142,500 (£ 123,527, $165,967)","€ 7,410,000 (£ 6,423,415, $8,630,305)",
18,Federico Dimarco,it ITA,MF,Inter,27,"€ 142,500 (£ 123,527, $165,967)","€ 7,410,000 (£ 6,423,415, $8,630,305)",
19,Francisco Conceição,pt POR,"MF,FW",Juventus,22,"€ 135,385 (£ 117,359, $157,680)","€ 7,040,000 (£ 6,102,677, $8,199,373)",
20,Stefan de Vrij,nl NED,DF,Inter,33,"€ 135,385 (£ 117,359, $157,680)","€ 7,040,000 (£ 6,102,677, $8,199,373)",
21,Maxence Caqueret,fr FRA,MF,Como,25,"€ 128,269 (£ 111,191, $149,393)","€ 6,670,000 (£ 5,781,940, $7,768,440)",
22,Giacomo Raspadori,it ITA,"MF,FW",Atalanta,25,"€ 124,615 (£ 107,924, $144,849)","€ 6,480,000 (£ 5,612,051, $7,532,134)",
23,Gianluca Mancini,it ITA,DF,Roma,29,"€ 124,615 (£ 108,024, $145,138)","€ 6,480,000 (£ 5,617,237, $7,547,150)",
24,Lorenzo Pellegrini,it ITA,MF,Roma,29,"€ 124,615 (£ 108,024, $145,138)","€ 6,480,000 (£ 5,617,237, $7,547,150)",
25,Mario Hermoso,es ESP,DF,Roma,30,"€ 124,615 (£ 108,024, $145,138)","€ 6,480,000 (£ 5,617,237, $7,547,150)",
26,Matteo Politano,it ITA,"MF,FW",Napoli,31,"€ 124,615 (£ 108,024, $145,138)","€ 6,480,000 (£ 5,617,237, $7,547,150)",
27,Luka Modrić,hr CRO,MF,Milan,39,"€ 124,615 (£ 108,024, $145,138)","€ 6,480,000 (£ 5,617,237, $7,547,150)",
28,Manuel Akanji,ch SUI,DF,Inter,30,"€ 124,615 (£ 108,024, $145,138)","€ 6,480,000 (£ 5,617,237, $7,547,150)",
29,Rafael Leão,pt POR,FW,Milan,26,"€ 123,269 (£ 106,857, $143,570)","€ 6,410,000 (£ 5,556,557, $7,465,622)",
